# d-spacing, counts, errors
1.937500000000010658e+01,2.500000000000000000e+01,5.000000000000000000e+00
1.942500000000010374e+01,1.900000000000000000e+01,4.358898943540673976e+00
1.947500000000010800e+01,1.700000000000000000e+01,4.123105625617660586e+00
1.952500000000010516e+01,1.500000000000000000e+01,3.872983346207417021e+00
1.957500000000010942e+01,1.200000000000000000e+01,3.464101615137754386e+00
1.962500000000010658e+01,1.100000000000000000e+01,3.316624790355399810e+00
1.967500000000011084e+01,1.100000000000000000e+01,3.316624790355399810e+00
1.972500000000010800e+01,1.200000000000000000e+01,3.464101615137754386e+00
1.977500000000011227e+01,1.700000000000000000e+01,4.123105625617660586e+00
1.982500000000010942e+01,1.900000000000000000e+01,4.358898943540673976e+00
1.987500000000011369e+01,4.000000000000000000e+00,2.000000000000000000e+00
1.992500000000011084e+01,8.000000000000000000e+00,2.828427124746190291e+00
1.997500000000005826e+01,1.000000000000000000e+01,3.162277660168379523e+00
